Flight ID,Departure Time,Arrival Time,Frequency per Week,Passenger Count,Delay (Minutes),Ground Crew Needed,Flight Crew Needed
F001,2024-08-06 04:57:01,2024-10-01 11:27:26,7,174,18.593564358309614,6,3
F002,2024-06-13 02:34:51,2024-06-05 19:33:52,7,234,12.834851432908915,6,4
F003,2024-03-16 02:34:04,2024-05-21 18:32:04,3,224,13.663922291054128,5,3
F004,2024-05-10 02:40:03,2024-04-18 15:02:34,3,290,22.09166694021964,9,4
F005,2024-01-12 13:18:29,2024-01-25 13:19:59,7,166,10.56061739888919,7,4
F006,2024-10-27 11:35:12,2024-06-11 19:00:08,3,265,11.31008082257388,6,3
F007,2024-05-11 19:22:47,2024-07-01 16:50:31,3,261,13.384227702141422,6,4
F008,2024-03-18 21:23:06,2024-02-04 15:37:02,5,153,7.748878374486372,8,3
F009,2024-04-25 17:04:47,2024-01-23 07:36:47,5,148,18.57037215467109,7,3
F010,2024-04-14 07:54:28,2024-03-21 12:28:51,7,254,15.870670660731339,8,4
F011,2024-09-08 10:19:23,2024-07-10 18:40:07,3,208,17.528700916149134,5,4
F012,2024-07-16 06:12:30,2024-08-23 20:11:55,5,240,13.420639702885456,5,4
F013,2024-11-04 04:04:55,2024-02-20 01:42:49,5,159,11.884791678020479,5,4
F014,2024-10-08 19:27:42,2024-04-30 00:15:28,5,190,22.48085198624288,6,4
F015,2024-03-30 08:15:13,2024-03-29 13:30:28,3,118,19.381279862225927,7,4
F016,2024-01-11 02:03:56,2024-08-28 22:22:37,7,283,7.463374758341174,8,3
F017,2024-09-03 03:21:17,2024-05-31 14:34:17,7,173,12.934970683981428,5,3
F018,2024-02-12 18:03:52,2024-07-10 12:38:33,3,189,22.445617954622634,9,3
F019,2024-10-31 12:17:54,2024-02-01 01:46:26,7,187,14.1637638321754,7,3
F020,2024-03-30 18:35:44,2024-02-12 20:54:38,7,129,14.20817260532454,5,3
F021,2024-07-05 05:48:05,2024-01-18 07:05:56,7,160,5.077853068405485,9,4
F022,2024-03-23 04:54:29,2024-07-09 14:40:20,7,292,16.513884159964295,6,3
F023,2024-01-14 00:29:55,2024-06-01 02:13:15,3,217,26.400679558861064,7,4
F024,2024-03-18 17:19:42,2024-04-05 13:05:24,7,232,19.3291007629739,6,3
F025,2024-02-28 03:18:36,2024-08-10 14:24:30,3,134,8.801769287535821,5,4
F026,2024-09-23 00:47:33,2024-05-07 17:28:44,5,244,10.869765171191979,5,4
F027,2024-04-02 07:35:15,2024-06-24 00:17:35,5,210,15.546305283471547,7,4
F028,2024-01-16 14:50:33,2024-03-13 10:26:23,5,106,27.37167946051514,9,3
F029,2024-04-17 12:50:19,2024-07-03 17:44:57,3,252,19.926116426209802,6,4
F030,2024-04-01 07:52:08,2024-06-27 11:14:22,7,285,24.195227611251084,8,4
F031,2024-08-25 09:56:32,2024-01-11 02:12:58,3,203,17.66178639721678,6,3
F032,2024-06-01 15:01:17,2024-02-26 12:42:24,5,256,20.137584267110423,9,4
F033,2024-05-04 09:02:27,2024-08-19 19:52:45,3,249,10.94760904117353,7,3
F034,2024-07-12 23:42:11,2024-07-03 02:42:50,3,251,20.206093497458337,8,4
F035,2024-09-30 15:18:06,2024-06-21 09:12:14,7,225,16.689223591011686,8,4
F036,2024-03-09 23:42:26,2024-06-19 03:52:40,7,267,18.812649756768202,6,4
F037,2024-10-25 08:15:01,2024-06-17 22:29:50,5,160,7.636145177999505,9,3
F038,2024-07-26 11:35:55,2024-03-27 17:56:41,7,190,4.976213738612806,8,3
F039,2024-01-25 19:03:50,2024-02-13 13:08:07,7,286,15.001494164507072,7,4
F040,2024-03-09 23:55:40,2024-07-24 12:41:43,3,139,16.69971915920224,6,4
F041,2024-02-02 20:07:17,2024-01-28 14:07:01,3,110,13.696891469459828,6,4
F042,2024-08-25 16:36:47,2024-07-14 22:36:45,5,244,17.502999886284854,5,4
F043,2024-05-23 09:33:17,2024-05-24 19:39:15,3,107,17.42416679815719,8,3
F044,2024-06-08 15:53:21,2024-06-27 15:35:50,3,230,14.08771716627236,5,3
F045,2024-03-17 11:26:39,2024-03-19 22:25:23,5,207,9.39555128399313,8,3
F046,2024-03-19 19:42:09,2024-07-24 21:19:53,3,118,21.007714918813456,7,4
F047,2024-06-29 13:54:54,2024-01-26 07:38:28,7,185,13.915941930685646,7,3
F048,2024-10-01 05:26:56,2024-09-13 13:06:42,7,176,14.77473284919799,9,3
F049,2024-04-27 21:42:12,2024-11-05 19:56:35,5,285,10.624841426249441,5,3
F050,2024-05-31 17:37:32,2024-10-05 07:54:06,3,214,19.045120175994285,8,4
F051,2024-10-13 23:27:44,2024-04-17 04:25:00,7,219,20.80542798113663,9,4
F052,2024-03-30 14:06:12,2024-08-19 12:35:54,5,130,18.999368804704705,5,4
F053,2024-01-10 03:53:23,2024-10-31 03:46:24,3,231,20.443443439817724,9,4
F054,2024-10-10 05:47:57,2024-10-05 21:59:54,7,167,25.37482140825708,6,4
F055,2024-08-21 18:21:56,2024-06-28 08:08:19,7,168,12.565810894533293,7,3
F056,2024-10-20 18:23:28,2024-01-01 21:50:51,7,129,17.576023947976747,9,3
F057,2024-02-27 14:15:03,2024-09-19 13:06:10,3,122,18.12856905858393,6,3
F058,2024-09-23 11:21:24,2024-06-08 13:19:19,7,144,14.60930463173724,7,3
F059,2024-10-25 14:16:18,2024-03-02 00:49:22,3,228,20.878284343776862,6,3
F060,2024-09-07 18:54:30,2024-04-18 00:23:40,7,293,23.379123666535865,7,4
F061,2024-06-07 15:02:22,2024-03-15 17:21:00,3,267,24.503365130960056,8,3
F062,2024-09-21 13:18:37,2024-03-08 03:59:06,3,229,9.82006834556462,5,3
F063,2024-04-27 10:15:35,2024-04-07 20:56:49,3,105,21.310994581480305,7,3
F064,2024-10-19 14:04:11,2024-01-01 22:30:19,7,152,18.02158723353506,5,3
F065,2024-06-15 06:46:29,2024-04-17 10:04:39,5,272,25.368330937896637,5,4
F066,2024-10-27 08:02:03,2024-03-02 10:05:38,3,133,17.199420340471544,9,4
F067,2024-09-20 17:57:56,2024-02-11 06:31:50,5,266,13.836259554121554,6,3
F068,2024-09-06 02:11:24,2024-02-06 18:31:50,5,198,19.34619184411871,6,3
F069,2024-07-05 17:13:03,2024-07-28 07:21:29,7,292,6.8038956034028395,5,4
F070,2024-03-04 20:12:10,2024-03-23 10:06:55,7,138,13.048292569098669,6,4
F071,2024-01-15 22:51:19,2024-10-12 11:54:28,5,109,16.104334624726995,5,4
F072,2024-01-24 13:20:16,2024-08-01 17:49:03,7,267,12.978266908770845,9,4
F073,2024-03-28 01:44:52,2024-06-13 01:07:18,5,263,8.108028908405814,8,4
F074,2024-05-25 14:45:07,2024-01-28 20:50:40,3,113,12.883334538538836,5,3
F075,2024-05-05 14:46:34,2024-05-16 05:41:52,3,197,7.590434494320043,9,4
F076,2024-09-17 04:12:01,2024-04-10 09:06:09,5,259,16.503269820681435,9,4
F077,2024-02-16 09:40:26,2024-04-18 00:52:44,7,197,6.852333137526305,9,4
F078,2024-05-18 21:44:19,2024-02-23 17:14:20,7,241,17.531354608158995,8,3
F079,2024-10-18 06:49:04,2024-01-27 17:14:35,5,290,7.162364234875658,9,4
F080,2024-10-04 08:27:24,2024-03-16 11:58:19,5,178,13.153747721654907,5,4
F081,2024-04-28 12:35:39,2024-05-15 14:25:50,3,143,12.093117897988794,7,4
F082,2024-10-05 00:12:09,2024-08-02 04:08:50,7,261,16.29637827608734,5,4
F083,2024-11-02 06:25:29,2024-07-31 04:45:07,7,232,17.058490997431967,8,4
F084,2024-06-23 16:24:49,2024-01-22 10:03:03,5,157,19.398955247789353,9,4
